"01","136","Dortan","DORTAN","dortan","01590"
"01","137","Douvres","DOUVRES","douvres","01500"
"01","138","Drom","DROM","drom","01250"
"01","139","Druillat","DRUILLAT","druillat","01160"
"01","140","Échallon","ECHALLON","a","01130"
"01","141","Échenevex","ECHENEVEX","a","01170"
"01","142","Étrez","ETREZ","a","01340"
"01","143","Évosges","EVOSGES","a","01230"
"01","144","Faramans","FARAMANS","faramans","01800"
"01","145","Fareins","FAREINS","fareins","01480"
"01","146","Farges","FARGES","farges","01550"
"01","147","Feillens","FEILLENS","feillens","01570"
"01","148","Ferney-Voltaire","FERNEY-VOLTAIRE","ferney-voltaire","01210"
"01","149","Flaxieu","FLAXIEU","flaxieu","01350"
"01","150","Foissiat","FOISSIAT","foissiat","01340"
"01","151","Francheleins","FRANCHELEINS","francheleins","01090"
"01","152","Frans","FRANS","frans","01480"
"01","153","Garnerans","GARNERANS","garnerans","01140"
"01","154","Genouilleux","GENOUILLEUX","genouilleux","01090"
"01","155","Géovreissiat","GEOVREISSIAT","gacovreissiat","01460"
"01","156","Géovreisset","GEOVREISSET","gacovreisset","01100"
"01","157","Germagnat","GERMAGNAT","germagnat","01250"
"01","158","Gex","GEX","gex","01170"
"01","159","Giron","GIRON","giron","01130"
"01","160","Gorrevod","GORREVOD","gorrevod","01190"
"01","161","Grand-Abergement (Le)","GRAND-ABERGEMENT (LE)","grand-abergement-le","01260"
"01","162","Grand-Corent","GRAND-CORENT","grand-corent","01250"
"01","163","Grièges","GRIEGES","griages","01290"
"01","164","Grilly","GRILLY","grilly","01220"
"01","165","Groissiat","GROISSIAT","groissiat","01100"
"01","166","Groslée","GROSLEE","groslace","01680"
"01","167","Guéreins","GUEREINS","guacreins","01090"
"01","168","Hautecourt-Romanèche","HAUTECOURT-ROMANECHE","hautecourt-romanache","01250"
"01","169","Hauteville-Lompnes","HAUTEVILLE-LOMPNES","hauteville-lompnes","01110"
"01","170","Hostias","HOSTIAS","hostias","01110"
"01","171","Hotonnes","HOTONNES","hotonnes","01260"
"01","172","Illiat","ILLIAT","illiat","01140"
